sgRNA_ID,Target_Gene,Base_Mean_Counts,LFC_Treatment_vs_Control,p_value,FDR,Pathway_Annotation
RPS15_sg4,RPS15,24,-3.8742,3.174054592899906e-25,3.665190061085342e-24,Ribosome
RPS15_sg5,RPS15,912,-3.8777,7.17082500514508e-187,1.605408583241436e-184,Unassigned
RPS16_sg1,RPS16,6447,-2.5357,4.5894904379889405e-96,1.9725603601671663e-94,Unassigned
RPS16_sg2,RPS16,29,-3.1655,2.944151017039012e-20,3.018610065316827e-19,Unassigned
RPS16_sg3,RPS16,79,-3.3398,3.098287424635417e-48,5.831155755273683e-47,Unassigned
RPS16_sg4,RPS16,1020,-2.0324,9.667732945986354e-54,1.9838029300929592e-52,Unassigned
RPS17_sg1,RPS17,308,-3.921,1.612011337031535e-140,1.530390509840065e-138,Unassigned
RPS17_sg2,RPS17,1155,-4.4823,4.9149843355944595e-259,3.3511256833598584e-256,Unassigned
RPS17_sg3,RPS17,284,-4.1192,7.719042275710567e-150,9.116979065799883e-148,Unassigned
RPS17_sg4,RPS17,138,-3.6155,1.1969810193459605e-80,4.1180539656397724e-79,Ribosome
RPS18_sg1,RPS18,235,-4.8864,3.721839637545557e-193,9.625447338479888e-191,Ribosome
RPS18_sg2,RPS18,10,-4.8714,3.6916620090098595e-18,3.588783547320019e-17,Ribosome
RPS18_sg3,RPS18,59,-4.5843,5.082992099317464e-72,1.5008834938929518e-70,Unassigned
RPS19_sg1,RPS19,1370,-3.8698,2.5688612552155623e-198,7.135725708932117e-196,Unassigned
RPS19_sg2,RPS19,1974,-3.1851,1.3373806194669062e-140,1.2777521842040505e-138,Unassigned
RPS19_sg3,RPS19,2722,-2.9194,1.3922937205257964e-121,9.281958136838642e-120,Ribosome
RPS19_sg4,RPS19,640,-2.3892,5.29905307707186e-67,1.4296006502891709e-65,Ribosome
RPS20_sg1,RPS20,11,-2.3586,1.0743442311518116e-05,5.308024857469425e-05,Unassigned
RPS20_sg2,RPS20,127,-2.1179,1.7601362501919238e-27,2.153510909696481e-26,Unassigned
RPS20_sg3,RPS20,2409,-2.2666,2.1598991380444405e-73,6.571701231372538e-72,Unassigned
RPS20_sg4,RPS20,3769,-1.5072,2.232515287495317e-34,3.112242501155182e-33,Unassigned
RPS20_sg5,RPS20,2550,-2.2571,4.189846912327965e-73,1.2645413216281585e-71,Unassigned
RPS21_sg1,RPS21,232,-2.8629,3.474447366581868e-67,9.424359945520437e-66,Unassigned
RPS21_sg2,RPS21,47,-3.2108,1.671446799197811e-30,2.1763630197888165e-29,Unassigned
RPS21_sg3,RPS21,311,-2.8291,2.2980401340044276e-74,7.07815236346333e-73,Unassigned
RPS21_sg4,RPS21,338,-2.791,9.29490279788679e-75,2.8806516935599555e-73,Ribosome
RPS21_sg5,RPS21,3458,-3.377,1.8656800261185272e-164,2.6652571801693244e-162,Unassigned
RPS21_sg6,RPS21,465,-3.4283,1.3378336623432064e-124,9.510665846041751e-123,Unassigned
RPS22_sg1,RPS22,339,-3.3115,1.3875496866838926e-104,7.055337389918097e-103,Unassigned
RPS22_sg2,RPS22,369,-4.164,2.1966150610718182e-169,3.581437599573617e-167,Unassigned
RPS22_sg3,RPS22,602,-3.6577,3.970951655031823e-152,4.92266734094854e-150,Unassigned
RPS22_sg4,RPS22,845,-3.286,7.695208180012638e-133,6.484725994392672e-131,Ribosome
RPS23_sg1,RPS23,111,-4.736,9.242321451218993e-120,6.001507435856489e-118,Unassigned
RPS23_sg2,RPS23,68,-5.0694,1.6497533231219624e-97,7.278323484361599e-96,Unassigned
RPS23_sg3,RPS23,2581,-4.4484,1.7267021300325502e-278,1.5235607029698973e-275,Unassigned
RPS23_sg4,RPS23,28,-4.067,1.9087779988769312e-31,2.5467617366129305e-30,Unassigned
RPS23_sg5,RPS23,3853,-4.1744,1.2120881603819376e-251,7.904922785099593e-249,Ribosome
RPS24_sg1,RPS24,19,-3.4463,1.0171490717552646e-16,9.565665251616908e-16,Unassigned
RPS24_sg2,RPS24,137,-2.624,3.719796660598647e-43,6.319020374742888e-42,Unassigned
RPS24_sg3,RPS24,1419,-2.8022,2.0498986634941335e-105,1.0639612440280969e-103,Unassigned
RPS24_sg4,RPS24,330,-2.6694,6.16963006933171e-68,1.6980633218344157e-66,Ribosome
RPS25_sg1,RPS25,46,-2.6523,5.458548348968822e-21,5.709778607707973e-20,Ribosome
RPS25_sg2,RPS25,626,-2.18,8.533745660212035e-56,1.8338994971802366e-54,Unassigned
RPS25_sg3,RPS25,365,-2.3954,4.099836212575381e-57,8.964656441491358e-56,Unassigned
RPS25_sg4,RPS25,239,-2.4346,9.402577641438354e-50,1.8081880079689142e-48,Unassigned
RPS26_sg1,RPS26,130,-4.5362,2.0109698335657424e-121,1.3347144913046964e-119,Unassigned
RPS26_sg2,RPS26,314,-4.2792,2.881129881019702e-168,4.501765439093284e-166,Unassigned
RPS26_sg3,RPS26,138,-4.6762,1.3116623095692261e-133,1.1178940138374087e-131,Unassigned
RPS26_sg4,RPS26,12731,-4.4914,1e-300,1.153846153846154e-297,Unassigned
RPS26_sg5,RPS26,230,-4.3664,4.2212857502206406e-153,5.320948424647866e-151,Ribosome
RPS27_sg1,RPS27,189,-1.806,3.0623771694357008e-25,3.5416852383604866e-24,Ribosome
RPS27_sg2,RPS27,147,-2.873,1.6607487116503728e-53,3.398530787824774e-52,Unassigned
RPS27_sg3,RPS27,4748,-1.879,5.131025981217909e-53,1.042891459597136e-51,Ribosome
RPS27_sg4,RPS27,28,-2.1802,4.011783162468612e-10,2.9894062313476988e-09,Unassigned
RPS28_sg1,RPS28,566,-2.733,1.901344986509804e-84,6.922372523700743e-83,Unassigned
RPS28_sg2,RPS28,231,-2.3456,1.3371236175771024e-45,2.3848816009104085e-44,Ribosome
RPS28_sg3,RPS28,39,-2.4029,1.8424097366693314e-15,1.683078322170522e-14,Unassigned
RPS28_sg4,RPS28,97,-2.6425,2.2530149618934726e-35,3.2155303928070496e-34,Unassigned
RPS28_sg5,RPS28,531,-2.2731,5.412365030518065e-58,1.209917667030864e-56,Unassigned
RPS28_sg6,RPS28,90,-3.2331,1.5060574722176162e-49,2.8814875106204393e-48,Unassigned
RPS29_sg1,RPS29,488,-2.8428,1.57910789513822e-87,5.9514116650937936e-86,Unassigned
RPS29_sg2,RPS29,4419,-2.7604,6.581583081764866e-112,3.656435045424926e-110,Unassigned
RPS29_sg3,RPS29,427,-2.7343,7.221743778719744e-78,2.370375419711076e-76,Ribosome
RPS29_sg4,RPS29,37,-2.6141,2.6745768605265913e-17,2.543985599739941e-16,Unassigned
RPS29_sg5,RPS29,93,-1.9941,2.6623481109735e-20,2.7315473094803347e-19,Unassigned
RPS30_sg1,RPS30,215,-2.0441,6.514338891440091e-34,9.005998467428698e-33,Unassigned
RPS30_sg2,RPS30,195,-1.8954,4.633397227323089e-28,5.743880860317879e-27,Unassigned
RPS30_sg3,RPS30,415,-2.765,7.420128461533301e-79,2.456996179315663e-77,Unassigned
RPS30_sg4,RPS30,528,-2.8436,1.4575176722581681e-89,5.67864028152533e-88,Unassigned
MYC_sg1,MYC,4428,-2.2279,1.4268424404873517e-73,4.367885021900056e-72,Unassigned
MYC_sg2,MYC,328,-2.3528,4.613062410663379e-53,9.388865150603891e-52,Unassigned
MYC_sg3,MYC,59,-2.86,4.232337235925245e-29,5.343860146370259e-28,Cell cycle
MYC_sg4,MYC,1864,-2.6578,5.8053642389584335e-98,2.5916804638207292e-96,Unassigned
MYC_sg5,MYC,2196,-2.5678,6.015510537071801e-93,2.492614863427542e-91,Unassigned
POLR2A_sg1,POLR2A,468,-3.3402,1.30336790749885e-118,8.214503618690232e-117,RNA polymerase
POLR2A_sg2,POLR2A,228,-3.3944,6.3128031754235475e-93,2.608596353480805e-91,Unassigned
POLR2A_sg3,POLR2A,840,-2.8737,6.1013026957879265e-102,2.9333186037441957e-100,Unassigned
POLR2A_sg4,POLR2A,241,-2.6768,5.446211100896321e-60,1.2587544917325856e-58,Unassigned
POLR2A_sg5,POLR2A,15,-3.438,1.1279933129008768e-13,9.707343484517012e-13,Unassigned
POLR2B_sg1,POLR2B,769,-2.634,1.961431865616169e-84,7.123844548242745e-83,RNA polymerase
POLR2B_sg2,POLR2B,1259,-3.3503,1.8021707979555934e-147,2.0479213613131744e-145,Unassigned
POLR2B_sg3,POLR2B,2869,-3.4005,7.921293687131126e-165,1.1424942817977586e-162,Unassigned
POLR2B_sg4,POLR2B,110,-2.1441,8.333973840800834e-26,9.735950748599105e-25,Unassigned
POLR2C_sg1,POLR2C,464,-4.8276,6.764884483041253e-245,4.228052801900783e-242,RNA polymerase
POLR2C_sg2,POLR2C,479,-4.5922,5.99429043252102e-224,2.724677469327736e-221,RNA polymerase
POLR2C_sg3,POLR2C,375,-4.6473,1.0997215746576495e-211,3.749050822696532e-209,RNA polymerase
POLR2C_sg4,POLR2C,392,-4.6886,8.867775540713157e-219,3.595044138126955e-216,Unassigned
POLR2C_sg5,POLR2C,349,-4.8852,1.1015171835127475e-227,5.697502673341797e-225,RNA polymerase
POLR2D_sg1,POLR2D,454,-3.7111,1.3798921704129457e-144,1.4998827939271147e-142,Unassigned
POLR2D_sg2,POLR2D,1003,-4.3931,2.5078070231176094e-243,1.446811744106313e-240,Unassigned
POLR2D_sg3,POLR2D,2060,-3.9676,6.685620724983038e-218,2.5713925865319377e-215,Unassigned
POLR2D_sg4,POLR2D,106,-4.0208,2.511946214772259e-84,9.101254401348764e-83,Unassigned
POLR2E_sg1,POLR2E,255,-3.4846,6.263767939665294e-103,3.070474480228085e-101,Unassigned
POLR2E_sg2,POLR2E,175,-3.0744,3.9197939062428785e-67,1.0613160395964472e-65,Unassigned
POLR2E_sg3,POLR2E,141,-3.7626,2.7035315482426125e-88,1.0345146230520202e-86,Unassigned
POLR2E_sg4,POLR2E,29,-3.2434,3.457438175998681e-21,3.636856426366074e-20,RNA polymerase
POLR2E_sg5,POLR2E,343,-3.4927,1.239855325774754e-116,7.439131954648524e-115,RNA polymerase
POLR2F_sg1,POLR2F,678,-3.0365,1.573728952160434e-108,8.370898681704436e-107,Unassigned
POLR2F_sg2,POLR2F,262,-3.7318,3.57117607761906e-119,2.2892154343711923e-117,Unassigned
POLR2F_sg3,POLR2F,326,-3.2016,1.894924690956932e-96,8.19131710788299e-95,Unassigned
POLR2F_sg4,POLR2F,619,-4.0409,1.6065015487205488e-186,3.5437534162953284e-184,RNA polymerase
POLR2F_sg5,POLR2F,2743,-2.8935,1.5797596571224493e-119,1.0213963300360664e-117,Unassigned
POLR2G_sg1,POLR2G,176,-3.7078,4.414624507792293e-97,1.9249816167698955e-95,Unassigned
POLR2G_sg2,POLR2G,57,-2.7394,3.663930557446262e-26,4.334302709912771e-25,RNA polymerase
POLR2G_sg3,POLR2G,288,-3.1479,7.797388368223743e-89,3.006705026307356e-87,RNA polymerase
POLR2G_sg4,POLR2G,5571,-2.8617,3.09377335753925e-121,2.044343628329901e-119,Unassigned
POLR2G_sg5,POLR2G,58,-3.2469,1.504519303473424e-36,2.188922361988493e-35,Unassigned
POLR2G_sg6,POLR2G,876,-2.459,9.321129179769014e-76,2.93733062387679e-74,Unassigned
POLR2H_sg1,POLR2H,1876,-2.8699,5.752496075567694e-114,3.306032227337755e-112,RNA polymerase
POLR2H_sg2,POLR2H,10,-2.7945,6.235933228879641e-07,3.5935074311638347e-06,RNA polymerase
POLR2H_sg3,POLR2H,611,-3.3801,1.0914961751685414e-130,8.755316913116642e-129,Unassigned
POLR2H_sg4,POLR2H,817,-3.7497,3.2662183877254674e-171,5.504862451222697e-169,RNA polymerase
POLR2I_sg1,POLR2I,221,-2.6337,7.2338597099729085e-56,1.5590214892182994e-54,RNA polymerase
POLR2I_sg2,POLR2I,125,-2.7968,3.258556468860418e-46,5.881870882419527e-45,Unassigned
POLR2I_sg3,POLR2I,136,-2.4432,1.7364560329234872e-37,2.5968933692773986e-36,Unassigned
POLR2I_sg4,POLR2I,202,-2.2961,4.3087044903327134e-41,7.017434023343182e-40,RNA polymerase
POLR2L_sg1,POLR2L,210,-2.2298,1.3843185406485263e-39,2.1996586980643956e-38,Unassigned
POLR2L_sg2,POLR2L,158,-2.9092,4.514283498059625e-57,9.856514187903112e-56,Unassigned
POLR2L_sg3,POLR2L,197,-2.2039,1.5601497008357308e-37,2.3402245512535962e-36,Unassigned
POLR2L_sg4,POLR2L,1971,-2.9118,8.023210254738566e-118,4.973064207482582e-116,RNA polymerase
POLR2L_sg5,POLR2L,53,-2.4965,7.332078509555033e-21,7.642889342830125e-20,Unassigned
EIF4A3_sg1,EIF4A3,24,-3.3742,1.6039261601362977e-19,1.6157751781090978e-18,Spliceosome
EIF4A3_sg2,EIF4A3,2019,-3.8932,1.675290708148985e-209,5.462904483094516e-207,Unassigned
EIF4A3_sg3,EIF4A3,248,-3.5107,3.620756615008888e-103,1.7865575403004383e-101,Unassigned
EIF4A3_sg4,EIF4A3,185,-4.6512,1.0968663141136103e-155,1.4183616130779442e-153,Spliceosome
EIF4G1_sg1,EIF4G1,280,-3.6633,3.179057725476527e-118,1.9869110784228293e-116,Unassigned
EIF4G1_sg2,EIF4G1,452,-3.0867,1.6870439631463147e-100,7.88338300535661e-99,Unassigned
EIF4G1_sg3,EIF4G1,150,-2.6997,5.367478739017769e-48,1.0038925322352435e-46,Unassigned
EIF4G1_sg4,EIF4G1,705,-3.1317,2.4112438099499432e-116,1.4409823565437906e-114,Unassigned
EIF3B_sg1,EIF3B,78,-2.8196,1.4183892030416333e-34,1.990256131489663e-33,Cell cycle
EIF3B_sg2,EIF3B,210,-4.2971,5.230251155516009e-142,5.195613730645042e-140,Unassigned
EIF3B_sg3,EIF3B,12,-4.1661,5.399470619760508e-16,4.9841267259327765e-15,Cell cycle
EIF3B_sg4,EIF3B,1917,-3.5643,4.5314983466561096e-175,8.091961333314482e-173,Cell cycle
EIF3B_sg5,EIF3B,254,-3.7004,1.2631006867266649e-115,7.488739249367578e-114,Unassigned
EIF3B_sg6,EIF3B,902,-4.0606,2.701391645314127e-204,7.9452695450415505e-202,Unassigned
SF3B1_sg1,SF3B1,675,-3.9601,5.36757769633819e-183,1.0735155392676379e-180,Spliceosome
SF3B1_sg2,SF3B1,753,-3.1441,5.941348607477072e-119,3.7634487079621094e-117,Unassigned
SF3B1_sg3,SF3B1,326,-3.4295,2.209386118191508e-110,1.2007533251040805e-108,Unassigned
SF3B1_sg4,SF3B1,591,-3.4874,8.062067054065792e-138,7.373841817743102e-136,Unassigned
SF3B1_sg5,SF3B1,78,-3.102,1.7445326335360912e-41,2.8787667220067512e-40,Unassigned
SF3B3_sg1,SF3B3,57,-3.3034,2.771599681653114e-37,4.1203166724278204e-36,Unassigned
SF3B3_sg2,SF3B3,284,-3.1537,1.2202735811944223e-88,4.693359927670855e-87,Spliceosome
SF3B3_sg3,SF3B3,119,-3.3549,9.360532836912374e-64,2.347959741700428e-62,Unassigned
SF3B3_sg4,SF3B3,2802,-3.3255,1.7682041574177795e-157,2.3681305679702405e-155,Unassigned
U2AF1_sg1,U2AF1,580,-6.0412,1e-300,1.153846153846154e-297,Spliceosome
U2AF1_sg2,U2AF1,113,-5.3362,3.0170316450010377e-153,3.8352097182216584e-151,Unassigned
U2AF1_sg3,U2AF1,220,-5.323,8.732994919433326e-222,3.7427121083285683e-219,Unassigned
U2AF1_sg4,U2AF1,403,-6.0427,1e-300,1.153846153846154e-297,Spliceosome
U2AF1_sg5,U2AF1,298,-5.458,9.459532259364242e-267,7.468051783708612e-264,Unassigned
U2AF1_sg6,U2AF1,497,-5.605,1e-300,1.153846153846154e-297,Spliceosome
SNRPD1_sg1,SNRPD1,366,-2.0658,5.661743809287767e-43,9.574538572639967e-42,Unassigned
SNRPD1_sg2,SNRPD1,41,-0.401,0.17540672892847187,0.2853379171377376,Unassigned
SNRPD1_sg3,SNRPD1,13,-1.086,0.028286979495731578,0.06441586089112125,Unassigned
SNRPD1_sg4,SNRPD1,189,-2.1626,1.8146780168414791e-35,2.5948684702213712e-34,Unassigned
SNRPD1_sg5,SNRPD1,766,-0.912,1.596566683259355e-11,1.2624407089557367e-10,Unassigned
SNRPD1_sg6,SNRPD1,192,-1.2948,7.866642355178735e-14,6.805053940466035e-13,Spliceosome
SNRPD2_sg1,SNRPD2,2111,-3.1388,1.9365232128295998e-137,1.7498703730387948e-135,Unassigned
SNRPD2_sg2,SNRPD2,308,-2.9438,4.667295919035351e-80,1.583923954423762e-78,Unassigned
SNRPD2_sg3,SNRPD2,2530,-2.8713,4.7123981741487475e-117,2.8502408311383555e-115,Unassigned
PRPF8_sg1,PRPF8,1859,-4.1533,2.9938268283534715e-236,1.6632371268630397e-233,Unassigned
PRPF8_sg2,PRPF8,1599,-3.5008,9.114340515682255e-166,1.3671510773523382e-163,Spliceosome
PRPF8_sg3,PRPF8,54,-3.3804,2.095995182892673e-37,3.128351019242796e-36,Unassigned
PRPF8_sg4,PRPF8,339,-3.8804,7.273843136540002e-143,7.422288914836737e-141,Spliceosome
PRPF8_sg5,PRPF8,2068,-3.4089,1.8864489838226375e-161,2.6200680330869963e-159,Unassigned
PRPF19_sg1,PRPF19,497,-1.6151,1.3442597829841186e-29,1.7146170701328043e-28,Spliceosome
PRPF19_sg2,PRPF19,759,-2.2344,4.099559041809339e-61,9.729966080243684e-60,Unassigned
PRPF19_sg3,PRPF19,41,-0.5459,0.06506451385298305,0.12858599575688348,Unassigned
PRPF19_sg4,PRPF19,5873,-2.2669,6.257111143536105e-77,2.022772998987965e-75,Spliceosome
PRPF19_sg5,PRPF19,101,-2.0777,4.437603928253761e-23,4.883643354644638e-22,Unassigned
PRPF19_sg6,PRPF19,17,-1.8351,2.6646074283022687e-05,0.00012466971748139124,Unassigned
CDK1_sg1,CDK1,195,-3.4815,1.6880711169207383e-90,6.698694908415628e-89,Unassigned
CDK1_sg2,CDK1,10,-3.51,3.854066424395893e-10,2.8761689734297706e-09,Unassigned
CDK1_sg3,CDK1,65,-3.2349,1.7944896469553082e-39,2.8363903798029107e-38,Unassigned
CDK1_sg4,CDK1,15333,-3.448,3.690676952074183e-179,6.834586948285525e-177,Unassigned
CDK9_sg1,CDK9,187,-3.2989,9.899982774805404e-80,3.3371491326952276e-78,Cell cycle
CDK9_sg2,CDK9,39,-2.9238,3.8420043421517243e-22,4.1282281613378126e-21,Unassigned
CDK9_sg3,CDK9,343,-3.5027,2.7243087923713576e-117,1.6611638977874132e-115,Unassigned
CDK9_sg4,CDK9,86,-2.7791,5.9295767290617276e-36,8.519506794628919e-35,Unassigned
CDK9_sg5,CDK9,1208,-2.9688,1.5124425700832953e-115,8.931747461121822e-114,Unassigned
CDK9_sg6,CDK9,87,-3.1753,8.999586308733069e-47,1.638274206686845e-45,Unassigned
CDK11B_sg1,CDK11B,496,-3.9524,3.727103469476429e-168,5.763562066200664e-166,Unassigned
CDK11B_sg2,CDK11B,59,-3.5449,8.641326525229036e-44,1.484764007771312e-42,Cell cycle
CDK11B_sg3,CDK11B,16294,-3.7142,1.0254786846256948e-207,3.204620889455296e-205,Unassigned
CDK11B_sg4,CDK11B,703,-3.4715,2.0623700444486465e-142,2.0623700444486464e-140,Cell cycle
CDK11B_sg5,CDK11B,266,-3.5448,1.981803277021316e-108,1.0504257652056445e-106,Unassigned
PLK1_sg1,PLK1,213,-1.393,1.5371492970623398e-16,1.4419787026851218e-15,Unassigned
PLK1_sg2,PLK1,144,-2.413,8.037518156931869e-38,1.2165769157818168e-36,Unassigned
PLK1_sg3,PLK1,105,-2.9902,3.617964660730571e-47,6.618228037921776e-46,Unassigned
PLK1_sg4,PLK1,101,-2.1539,1.1086173637488724e-24,1.267474120139717e-23,Unassigned
PLK1_sg5,PLK1,4095,-2.4739,5.971830876217775e-90,2.3511145181959744e-88,Unassigned
AURKB_sg1,AURKB,144,-3.6046,3.4641615791102806e-82,1.2255288605342974e-80,Cell cycle
AURKB_sg2,AURKB,14,-3.8786,5.037114506899038e-16,4.655373851108169e-15,Unassigned
AURKB_sg3,AURKB,57,-3.3524,2.4043218417297244e-38,3.6913846085922075e-37,Unassigned
AURKB_sg4,AURKB,1328,-3.7241,4.607458631024549e-183,9.339443170995706e-181,Unassigned
AURKB_sg5,AURKB,226,-2.9219,4.628300150801485e-69,1.2904182576584067e-67,Cell cycle
BUB1B_sg1,BUB1B,270,-3.4312,2.2640521269878895e-102,1.0990544305766453e-100,Unassigned
BUB1B_sg2,BUB1B,1910,-2.7579,1.4038898062551015e-105,7.311926074245319e-104,Unassigned
BUB1B_sg3,BUB1B,103,-2.8089,2.557198963418855e-41,4.205919347728381e-40,Unassigned
BUB1B_sg4,BUB1B,853,-2.7255,3.683605182816031e-92,1.505560701423446e-90,Unassigned
BUB1B_sg5,BUB1B,121,-3.0231,1.211676076687618e-52,2.4494799393954544e-51,Unassigned
BUB1B_sg6,BUB1B,784,-2.4082,3.6168601034039842e-71,1.0433250298280725e-69,Unassigned
BUB3_sg1,BUB3,184,-1.9561,6.173465356045777e-29,7.762110673988822e-28,Cell cycle
BUB3_sg2,BUB3,230,-2.6878,3.371544999876595e-59,7.685892856861538e-58,Unassigned
BUB3_sg3,BUB3,1130,-2.0176,7.623669251869088e-54,1.5686562246644217e-52,Unassigned
KIF11_sg1,KIF11,1014,-2.4848,2.4505199856795902e-79,8.150288200708171e-78,Unassigned
KIF11_sg2,KIF11,258,-2.8655,1.3992470766440877e-70,3.9826766887402874e-69,Unassigned
KIF11_sg3,KIF11,163,-2.9958,1.8784000679147965e-61,4.5009586291888095e-60,Unassigned
KIF11_sg4,KIF11,3636,-2.6009,1.2526834423110259e-98,5.642718208608225e-97,Cell cycle
INCENP_sg1,INCENP,800,-3.9161,9.153173597259917e-186,1.9613943422699823e-183,Unassigned
INCENP_sg2,INCENP,184,-3.652,1.8066263357555952e-96,7.832195097206337e-95,Cell cycle
INCENP_sg3,INCENP,124,-3.1488,8.091025899316595e-58,1.7980057554036874e-56,Unassigned
INCENP_sg4,INCENP,1537,-3.1933,1.2185267169709028e-137,1.107751560882639e-135,Unassigned
NDC80_sg1,NDC80,393,-2.8007,2.1065424979191667e-79,7.021808326397222e-78,Unassigned
NDC80_sg2,NDC80,258,-2.9616,2.8875669111282323e-75,9.023646597275726e-74,Unassigned
NDC80_sg3,NDC80,392,-1.7253,3.3504580997059153e-31,4.4475107518220116e-30,Cell cycle
NDC80_sg4,NDC80,548,-2.6452,1.498564186851759e-78,4.940321495115689e-77,Cell cycle
CENPA_sg1,CENPA,303,-0.2902,0.06263127892711631,0.12466920525776917,Unassigned
CENPA_sg2,CENPA,2009,-1.1469,9.244306629620318e-20,9.369229692182755e-19,Unassigned
CENPA_sg3,CENPA,2184,-1.9119,2.4969718925364574e-52,5.0207209635451554e-51,Unassigned
CENPA_sg4,CENPA,734,-2.4397,5.384208768986125e-72,1.5867019947896242e-70,Unassigned
CENPA_sg5,CENPA,2597,-1.7136,5.8965467607983056e-43,9.96038304188903e-42,Unassigned
CENPA_sg6,CENPA,335,-1.6421,6.253946134922641e-27,7.595885993833167e-26,Unassigned
RRM1_sg1,RRM1,930,-2.752,1.9113282418672577e-95,8.191406750859676e-94,DNA replication
RRM1_sg2,RRM1,1490,-3.7083,3.2388245156922225e-184,6.655118867860732e-182,Unassigned
RRM1_sg3,RRM1,1523,-2.7898,2.077640297079215e-105,1.0746415329720075e-103,Unassigned
RRM1_sg4,RRM1,1305,-2.8104,7.176135510401191e-105,3.686370981370475e-103,Unassigned
RRM2_sg1,RRM2,851,-2.8343,1.8202005573511153e-99,8.375155938732126e-98,Unassigned
RRM2_sg2,RRM2,6221,-3.1139,1.0245791147026867e-143,1.0899777815986029e-141,DNA replication
RRM2_sg3,RRM2,147,-3.1672,1.2395351264549477e-64,3.1782951960383274e-63,Unassigned
RRM2_sg4,RRM2,262,-3.1527,1.2957653967660463e-85,4.799131099133505e-84,DNA replication
RRM2_sg5,RRM2,239,-2.7216,1.009673787286763e-61,2.4349046317204894e-60,Unassigned
TOP2A_sg1,TOP2A,190,-3.4039,1.8498328899159582e-85,6.834357967669796e-84,Unassigned
TOP2A_sg2,TOP2A,17,-4.4285,3.809084351105232e-24,4.299192269870465e-23,Unassigned
TOP2A_sg3,TOP2A,2597,-3.1776,3.4589299546500598e-143,3.6030520360938123e-141,Unassigned
TOP2A_sg4,TOP2A,71,-2.8475,5.531274351231569e-33,7.5357961188441e-32,Unassigned
TOP2A_sg5,TOP2A,426,-3.2983,2.403521726942214e-112,1.3502931050237158e-110,Unassigned
PCNA_sg1,PCNA,39,-2.6817,7.046070603295518e-19,6.957936737948174e-18,DNA replication
PCNA_sg2,PCNA,838,-2.5315,1.6901654569063463e-79,5.671696164115256e-78,DNA replication
PCNA_sg3,PCNA,102,-2.2138,3.8351890750318475e-26,4.529750876021868e-25,Unassigned
PCNA_sg4,PCNA,60,-2.4682,2.337607678022427e-22,2.5207846995209494e-21,Unassigned
MCM2_sg1,MCM2,442,-4.2491,2.4522093825162007e-187,5.573203142082274e-185,DNA replication
MCM2_sg2,MCM2,115,-4.0419,9.436840195073917e-90,3.7055655216258835e-88,DNA replication
MCM2_sg3,MCM2,140,-2.8585,1.583373838834366e-51,3.1457758387437736e-50,Unassigned
MCM2_sg4,MCM2,427,-3.8032,7.780221723786441e-149,9.046769446263303e-147,Unassigned
MCM2_sg5,MCM2,1097,-3.7415,1.0844305863632474e-179,2.0333073494310885e-177,Unassigned
MCM3_sg1,MCM3,97,-3.7441,3.162818770211147e-69,8.867716178162095e-68,Unassigned
MCM3_sg2,MCM3,75,-3.4602,8.629246029666852e-50,1.6637363810411668e-48,Unassigned
MCM3_sg3,MCM3,342,-3.3742,7.30630710864213e-109,3.900163936997578e-107,Unassigned
MCM3_sg4,MCM3,742,-3.4324,6.160752988122723e-141,5.923800950118003e-139,DNA replication
MCM4_sg1,MCM4,2964,-4.5765,1.770890169640678e-297,1.897382324615012e-294,DNA replication
MCM4_sg2,MCM4,66,-4.5659,9.935344757005907e-78,3.253933872381848e-76,DNA replication
MCM4_sg3,MCM4,205,-3.436,1.9887037491314744e-90,7.870859165427999e-89,DNA replication
MCM5_sg1,MCM5,1927,-4.2163,2.8560173881499103e-244,1.713610432889946e-241,Unassigned
MCM5_sg2,MCM5,6372,-3.7259,5.10972765896691e-205,1.5329182976900729e-202,Unassigned
MCM5_sg3,MCM5,74,-4.11,7.818838108820519e-69,2.1718994746723662e-67,Unassigned
MCM5_sg4,MCM5,109,-4.1598,9.20074949220013e-92,3.7099796339516655e-90,Unassigned
MCM5_sg5,MCM5,585,-3.9964,7.045482708365653e-180,1.3377498813352506e-177,Unassigned
MCM6_sg1,MCM6,139,-3.3461,1.2239891846742188e-69,3.444622470940578e-68,DNA replication
MCM6_sg2,MCM6,106,-3.4329,5.642857351306899e-62,1.3674129284265509e-60,Unassigned
MCM6_sg3,MCM6,477,-3.8311,2.6855404598944773e-156,3.533605868282207e-154,Unassigned
MCM6_sg4,MCM6,3375,-3.6209,1.681765035212618e-188,4.135487791506437e-186,Unassigned
MCM6_sg5,MCM6,46,-3.4955,3.033837550104634e-35,4.321705911829963e-34,Unassigned
MCM7_sg1,MCM7,3126,-4.2697,4.301307444869382e-260,3.0723624606209868e-257,Unassigned
MCM7_sg2,MCM7,139,-3.2435,1.5148191074347726e-65,3.99337198796513e-64,Unassigned
MCM7_sg3,MCM7,555,-3.3679,1.4423336566443094e-126,1.0553660902275435e-124,Unassigned
